DWR_Site,EMP_Site,Lat,Lon,RepCont,Collection_Date,Collection_Month,Collection_ID,Survey_Year,field.PST,field.Water.temp,field.DO.mgL,field.DO.perc,field.Secchi,field.SC.uScm,field.Salinity,field.NTU,field.pH,field.Chla,field.Fluor,bryte.NH4.mgL,bryte.NO3.mgL,bryte.Chloride.mgL,bryte.Calcium.mgL,bryte.DOC.mgL,bryte.TOC.mgL,bryte.DON.mgL,bryte.total.kjeldahl.n.mgL,bryte.SRP.mgL,bryte.TP.mgL,bryte.SiO2.mgL,bryte.VSS.mgL,bryte.TDS.mgL,bryte.TSS.mgL,bryte.amb.Chla.ugL,bryte.amb.Pheo.ugL,bryte.towNet.Chla.ave.ugL,bryte.towNet.Chla.corrected,bryte.towNet.Pheo.uncorrected,bryte.towNet.Pheo.corrected,dwr.MIC_totbvL,ucd.qpcr.total.MIC,ucd.qpcr.toxin.MIC,ucd.qpcr.DOLICO,ucd.qpcr.APHA,ucd.qpcr.total.CYA,ucd.ppia.MC.total.ugL,ucd.elisa.STX.dissolved.ugL,ucd.elisa.ANA-a.dissolved.ugL
,D26,38.07664,-121.5669,0,2018-07-09,7,2,2018,1300,23.23,8.15,,160,154,0.06,4.5,7.71,,1.7,0.06,0.29,12,10,2.2,2.2,0.1,0.3,0.06,0.06,13.4,1,86,4,3.51,0.95,,,,,9.69E+08,9061,1322,0,14000,159936,0.31328896,0,0
,MD10A,38.04226,-121.4199,0,2018-07-09,7,2,2018,1415,25.89,7.65,,116,191,0.08,3.6,7.64,,10.2,0.06,0.14,16,12,3.2,3.3,0.2,0.3,0.07,0.07,14.2,1,106,4,9.47,2.14,,,,,2.22E+08,2095,97,0,195,393021,0,0,0
RR,P8,37.97817,-121.3823,0,2018-07-09,7,2,2018,1530,26.49,7.52,,120,615,0.28,2.9,7.57,,4.8,0.02,1.09,111,21,4,4,0.3,0.4,0.23,0.23,10.4,2,331,4,7.22,0.86,,,,,3.75E+09,374597,37317,0,5177,636876,1.134718666,0.039229526,0
,D8,38.05992,-121.99,0,2018-07-10,7,2,2018,1240,22.17,8.68,,60,9085,5.06,12,7.88,,2.6,0.04,0.43,2700,70,1.7,1.7,0.1,0.2,0.09,0.09,11.2,3,5510,14,1.95,0,,,,,2.22E+07,186,0,0,614,160060,0,0.045371637,0
FieldCont,FieldCont,,,1,,7,2,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,16,0,0,0,0
CV,D4,38.06248,-121.8205,0,2018-08-02,8,3,2018,650,21.06,8.54,,68,4508,2.38,15.1,7.72,,2.3,0.094,0.28,1280,40.5,2,2.1,0.3,0.2,0.08,0.1,12.9,2,2600,18,2.02,1.14,,,,,1.97E+08,576,0,0,1072,77441,0,0,0
,D22,38.08453,-121.7391,0,2018-08-02,8,3,2018,740,21.56,8.44,,56,532,0.24,12.8,7.66,,1.7,0.112,0.23,116.5,13,1.9,1.9,0.3,0.2,0.07,0.07,14.8,2,311,16,2.22,2.99,,,,,6.71E+08,288,0,0,160,34996,0,0,0
AT,D12,38.02161,-121.8063,0,2018-08-03,8,3,2018,825,21.54,8.34,,64,1997,0.99,11.5,7.6,,2.2,0.08,0.23,510,22,2,2.1,0,0.189,0.07,0.08,12.6,2,1110,12,2.78,1.17,,,,,7.26E+08,515,0,0,351,75048,0.26254749,0,0.942622671
FT,D19,38.04376,-121.6148,0,2018-08-03,8,3,2018,930,22.66,8.18,,200,423,0.19,1.2,7.63,,2.2,0.024,0.153,81,11.4,2.2,2.2,0.1,0.193,0.07,0.07,11.3,0,228,2,2.56,1.08,,,,,9.05E+08,18624,96,0,800,80516,0.326313622,0,0
OR,D28A,37.97048,-121.573,0,2018-08-03,8,3,2018,1010,23.94,8.54,,212,311,0.14,0.7,8.33,,1.8,0.023,0.055,51,11.1,2.4,2.4,0.11,0.2,0.07,0.07,8.7,0,168,3,2.47,0.95,,,,,7.41E+08,4359,245,0,490,64769,0.295462788,0,0
,D16,38.0969,-121.6691,0,2018-08-16,8,3,2018,1040,22.79,8.52,,144,324,0.14,3.6,7.59,,3.3,0.024,0.18,55,11,2.1,2.1,0.12,0.222,0.06,0.07,12.6,1,179,5,4.14,2.27,,,,,2.59E+09,23370,1309,0,178,175472,0.26137276,0.023856551,0
,D26,38.07664,-121.5669,0,2018-08-16,8,3,2018,1135,22.75,9.03,,136,188,0.08,3.5,7.6,,9.8,0.06,0.152,19.5,10.9,2.1,2.1,0.13,0.3,0.055,0.06,13.5,2,107,7,13.8,2.99,,,,,7.42E+08,637,0,0,90,284182,0.259928878,0,0
,MD10A,38.04226,-121.4199,0,2018-08-16,8,3,2018,1245,25.22,9.23,,84,173,0.07,7.5,7.72,,17,0.062,0,12,12,3.2,3.4,0.16,0.4,0.04,0.07,5.8,3,95,10,22.9,6.2,,,,,3.09E+07,594,0,0,0,546906,0,0,0
RR,P8,37.97817,-121.3823,0,2018-08-16,8,3,2018,1400,26.38,6.93,,84,533,0.24,4.2,7.45,,4.7,0.063,0.7,93,21,4.6,4.1,0.3,0.5,0.216,0.23,10.9,2,290,6,4.31,1.24,,,,,4.29E+08,3086,196,0,229,99212,0.291974444,0.024346585,0
,D8,38.05992,-121.99,0,2018-08-07,8,3,2018,1130,21.07,8.68,,60,11781,6.7,17.5,7.83,,3.2,0.04,0.35,3470,85,1.4,1.4,0,0.227,0.09,0.1,11.3,5,6940,26,2.87,0.92,,,,,2.48E+08,144,0,0,80,248261,0,0.024346585,0
FieldCont,FieldCont,,,1,,8,3,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2018-09-13,9,4,2018,625,19.62,8.37,,56,6423,3.48,34.4,7.8,,2.5,0.06,0.26,1800,54.5,1.7,1.7,0.2,0.3,0.088,0.111,14.3,7,3690,37,2.01,1.66,,,,,1.85E+08,2880,0,0,0,43127,0,0,0
,D22,38.08453,-121.7391,0,2018-09-13,9,4,2018,745,19.98,8.44,,76,1197,0.57,10.4,7.91,,2.1,0.08,0.216,280,20,2,2,0.2,0.2,0.079,0.08,17.3,1,652,9,2.05,1.11,,,,,9.09E+06,0,0,0,0,27532,0,0,0
AT,D12,38.02161,-121.8063,0,2018-09-14,9,4,2018,740,19.74,8.34,,80,3561,1.85,12,7.77,,2.3,0.05,0.224,850,33,2,2,0.13,0.22,0.071,0.08,14.8,2,1780,11,2.46,0.95,,,,,1.42E+09,4945,194,0,0,35762,0,0,0
FT,D19,38.04376,-121.6148,0,2018-09-14,9,4,2018,925,20.55,8.71,,252,994,0.47,1.4,8.02,,2.1,0.03,0.18,232,19,2.2,2.2,0.13,0.185,0.068,0.078,14.1,1,565,2,1.67,0.62,,,,,1.49E+08,4704,144,0,0,28297,0,0,0
OR,D28A,37.97048,-121.573,0,2018-09-14,9,4,2018,1005,21.3,8.87,,276,793,0.37,1.5,8.48,,1.6,0.02,0.07,175,17,2.4,2.5,0.1,0.2,0.066,0.08,12.1,1,430,2,1.7,0.71,,,,,2.35E+08,2832,0,0,144,68371,0,0,0
,D16,38.0969,-121.6691,0,2018-09-17,9,4,2018,935,20.48,8.46,,164,751,0.35,3.9,7.84,,2.3,0.04,0.221,172,17,2.2,2.3,0.1,0.3,0.075,0.08,16.2,1,413,5,1.97,0.83,,,,,8.92E+08,56674,97,0,0,64033,0,0,0
,D26,38.07664,-121.5669,0,2018-09-17,9,4,2018,1030,20.31,8.32,,164,370,0.16,4.8,7.71,,1.9,0.1,0.224,58,15,2.2,2.2,0.1,0.3,0.077,0.08,18,1,202,7,1.58,1.01,,,,,2.05E+08,5520,0,0,24,25235,0,0,0
,MD10A,38.04226,-121.4199,0,2018-09-17,9,4,2018,1140,21.98,8,,248,194,0.08,1.4,7.65,,3.3,0.011,0.06,11.4,14.4,3,3,0.19,0.315,0.068,0.07,18.2,0,120,2,3.9,1.14,,,,,1.74E+07,903,0,0,792,152527,0,0,0
RR,P8,37.97817,-121.3823,0,2018-09-17,9,4,2018,1250,23.34,7.23,,112,831,0.39,4.9,7.55,,4.3,0.07,1.14,170,25,4.3,4.3,0.3,0.5,0.356,0.39,10.7,1,462,4,2.6,0.93,,,,,1.19E+07,0,0,0,0,61027,0,0,0
,D8,38.05992,-121.99,0,2018-09-18,9,4,2018,920,19.1,8.88,,96,11133,6.3,6.5,7.82,,4.9,0.06,0.3,3260,87,1.5,1.6,0,0.223,0.096,0.1,13.7,2,6700,10,4,0.6,,,,,6.61E+07,42432,0,0,0,190805,0,0,0
FieldCont,FieldCont,,,1,,9,4,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2018-10-12,10,5,2018,615,18.24,8.46,,76,8440,4.68,9.6,7.57,,1.5,0.09,0.33,2800,75,1.4,1.4,0,0.2,0.091,0.09,13.4,2,5540,14,1.33,0.67,,,,,7.73E+07,8650,238,261,55,48038,0,0,0
,D22,38.08453,-121.7391,0,2018-10-12,10,5,2018,750,18.11,8.58,,52,3106,1.6,15.6,7.63,,1.1,0.09,0.3185,813,31,1.6,1.6,0.12,0.3,0.083,0.1,15.6,2,1710,15,0.84,0.52,,,,,4.28E+08,6083,143,0,1141,84622,0,0,0
AT,D12,38.02161,-121.8063,0,2018-10-15,10,5,2018,945,17.59,8.8,,60,4740,2.51,13.7,7.68,,1.8,0.07,0.33,1200,42,1.7,1.7,0.1,0.3,0.081,0.1,14.1,2,2620,17,0.78,0.72,,,,,3.06E+08,3087,145,0,0,88052,0,0,0
FT,D19,38.04376,-121.6148,0,2018-10-15,10,5,2018,1140,18.02,9.5,,244,969,0.46,0.7,8.05,,0.7,0.04,0.26,215,17,2,2,0.11,0.2,0.077,0.08,14.5,0,539,2,1.35,0.5,,,,,4.64E+08,43671,0,0,31,71869,0,0,0
OR,D28A,37.97048,-121.573,0,2018-10-15,10,5,2018,1220,17.98,9.08,,292,759,0.35,0.1,8.07,,1,0.027,0.14,158,16,2.3,2.3,0.1,0.2,0.065,0.07,11.6,0,415,2,1.79,0.9,,,,,3.35E+08,15380,2057,0,0,49042,0,0,0
,D16,38.0969,-121.6691,0,2018-10-16,10,5,2018,930,17.91,8.92,,168,701,0.32,2.2,8.14,,1,0.06,0.308,146,15,1.9,1.9,0,0.25,0.07,0.07,16.2,1,388,5,1.59,0.64,,,,,1.63E+08,83118,98,0,408,112619,0,0,0
,D26,38.07664,-121.5669,0,2018-10-16,10,5,2018,1020,17.78,8.83,,188,349,0.15,3,8.05,,1.4,0.1,0.33,61,12.9,1.9,2,0.1,0.248,0.076,0.08,17.5,1,199,4,1.48,0.75,,,,,6.82E+07,2350,850,0,0,39956,0,0,0
,MD10A,38.04226,-121.4199,0,2018-10-16,10,5,2018,1135,17.97,8.16,,220,169,0.07,0.1,8.06,,1.9,0.03,0.161,11.1,12,2.8,2.8,0.2,0.2,0.06,0.06,17.1,0,103,2,2.22,1.11,,,,,1.31E+07,26279,0,0,1406,161770,0,0,0
RR,P8,37.97817,-121.3823,0,2018-10-16,10,5,2018,1250,20.31,8.01,,200,673,0.31,0.5,7.88,,2,0.07,2.44,110,24,3.3,3.4,0.3,0.4,0.35,0.35,12.7,0,367,3,2.46,0,,,,,3.82E+05,384,0,0,0,152394,0,0,0
,D8,38.05992,-121.99,0,2018-10-17,10,5,2018,955,17.29,8.71,,8,16045,9.37,9.7,7.66,,1.7,0.08,0.3,5030,123,1.1,1.1,0,0.2,0.086,0.108,11.5,3,9700,16,1.32,0,,,,,6.52E+07,19976,0,0,0,96790,0.280211915,0,0
FieldCont,FieldCont,,,1,,10,5,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2018-12-11,12,6,2018,800,11.5,9.68,,74,7278,3.99,8.4,8.1,,1.2,0.2,0.53,2600,49,2,2,0.3,0.4,0.082,0.09,7.1,2,3500,13,1,0.7,,,,,4.68E+06,0,0,0,0,20684,0,0.024181095,0
,D22,38.08453,-121.7391,0,2018-12-11,12,6,2018,940,11.17,8.83,,60,1756,0.87,14.4,7.87,,1.9,0.21,0.59,450,23,3.2,3.2,0.38,0.5,0.084,0.1,16.9,2,1010,16,0.9,1.17,,,,,4.68E+05,143,380,0,0,20101,0,0,0
AT,D12,38.02161,-121.8063,0,2018-12-12,12,6,2018,850,11.39,9.06,,76,4228,2.22,10.3,7.82,,1.7,0.17,0.54,1080,39,2.3,2.3,0.1,0.44,0.081,0.09,16.2,2,2320,14,0.97,0.65,,,,,3.19E+05,141,0,0,0,23402,0,0,0
FT,D19,38.04376,-121.6148,0,2018-12-12,12,6,2018,1100,11.53,9.32,,160,1113,0.53,2.2,7.96,,1.2,0.14,0.58,225,19,3.1,3.1,0.3,0.38,0.07,0.07,16,0,557,2,1.06,0.65,,,,,5.99E+06,141,0,0,0,34231,0,0,0
OR,D28A,37.97048,-121.573,0,2018-12-12,12,6,2018,1140,11.23,9.19,,240,721,0.33,0.6,8.16,,1.5,0.1,0.56,148,18,3.1,3.2,0.22,0.4,0.059,0.07,15.3,0,396,2,0.9,0.59,,,,,0.00E+00,0,0,0,0,30881,0,0,0
,D16,38.0969,-121.6691,0,2018-12-13,12,6,2018,845,11.31,9.14,,180,957,0.45,3.4,7.58,,1.5,0.121,0.59,211,19,3.1,3.2,0.22,0.38,0.077,0.07,17.4,1,542,5,0.78,0,,,,,7.33E+05,0,0,0,0,28852,0,0,0
,D26,38.07664,-121.5669,0,2018-12-13,12,6,2018,950,11.18,8.84,,156,554,0.25,4.9,7.51,,2.2,0.14,0.61,107,18,3.5,3.5,0.3,0.5,0.08,0.09,18.4,1,314,5,0.65,0.56,,,,,0.00E+00,144,0,0,0,14079,0,0,0
,MD10A,38.04226,-121.4199,0,2018-12-13,12,6,2018,1110,10.95,8.34,,236,276,0.12,1.9,7.38,,2.6,0.05,0.57,32,17,3.8,3.8,0.3,0.44,0.077,0.078,14.8,1,157,2,0,0,,,,,2.15E+05,0,0,0,704,31211,0,0,0
RR,P8,37.97817,-121.3823,0,2018-12-13,12,6,2018,1205,11.58,8.33,,196,662,0.3,3.2,7.44,,2.3,0.17,2.45,110,26,4.1,4.1,0.3,0.6,0.303,0.29,12,1,368,3,0.76,0,,,,,0.00E+00,141,0,0,0,11183,0,0,0
,D8,38.05992,-121.99,0,2018-12-14,12,6,2018,1105,11.6,9.21,,80,17391,10.22,8.4,7.65,,2,0.17,0.49,5600,130,1.2,1.3,0,0.3,0.082,0.09,12.3,3,10700,18,0.93,0,,,,,0.00E+00,189,0,0,0,17928,0,0.039095779,0
FieldCont,FieldCont,,,1,,12,6,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2019-06-11,6,1,2019,1230,21.12,8.46,,84,116,0.05,5.8,7.54,,1.5,0,0.15,6,8,1.8,1.8,0.2,0.2,0.05,0.05,13.9,1,72,6,1.4,0,,,,,0.00E+00,0,0,0,0,437,0,0,0
,D22,38.08453,-121.7391,0,2019-06-11,6,1,2019,1315,19.99,8.7,,100,103,0.04,5,7.53,,0.8,0.07,0.14,3,8,1.6,1.6,0.13,0.2,0,0.04,14.3,1,61,6,0.72,0,,,,,0.00E+00,11,0,0,162,1501,0,0,0
AT,D12,38.02161,-121.8063,0,2019-06-07,6,1,2019,650,20.19,8.47,,80,131,0.05,7.4,7.79,,2.1,0,0.17,9,9,2.1,2.1,0.2,0.3,0.055,0.062,14.1,1,81,8,1.73,0.89,,,,,0.00E+00,0,0,0,0,2008,0,0,0
FT,D19,38.04376,-121.6148,0,2019-06-07,6,1,2019,755,20.45,8.54,,140,121,0.05,4.2,7.61,,2.9,0,0.155,9,8.5,2.2,2.2,0.2,0.215,0.054,0.06,12.7,0,68,3,0,0,,,,,0.00E+00,0,0,0,0,1165,0,0,0.15
OR,D28A,37.97048,-121.573,0,2019-06-07,6,1,2019,835,22.45,7.87,,132,152,0.06,3.5,7.55,,2.1,0,0.12,16,9,2.7,2.7,0.13,0.3,0.07,0.07,8.9,0,87,5,0.56,0.54,,,,,2.32E+04,0,0,0,0,1079,0,0,0
,D16,38.0969,-121.6691,0,2019-06-10,6,1,2019,820,20.41,8.59,,136,104,0.04,4.8,7.24,,1.2,0,0.15,6,8,1.9,2,0.1,0.2,0.05,0.05,12.8,0,65,5,0.5,0,,,,,0.00E+00,0,0,0,0,0,0,0,0
,D26,38.07664,-121.5669,0,2019-06-10,6,1,2019,910,20.1,8.47,,136,96,0.04,4.4,7.33,,1.1,0,0.14,5,7,2.1,2.2,0.2,0.2,0.05,0.05,12.9,0,59,4,0,0,,,,,0.00E+00,0,0,0,0,0,0,0,0
,MD10A,38.04226,-121.4199,0,2019-06-10,6,1,2019,1025,23.49,7.83,,116,143,0.06,4,7.42,,3.4,0,0,11.6,9,3.2,3.2,0.25,0.4,0.096,0.112,12.2,0,84,4,2.49,0,,,,,6.01E+04,0,0,24,340,1380,0,0,0
RR,P8,37.97817,-121.3823,0,2019-06-10,6,1,2019,1145,20.98,7.88,,80,95,0.04,5.2,7.55,,2.6,0,0.18,6,7,3.2,3.4,0.22,0.3,0.089,0.09,9.5,1,59,6,2.85,0.67,,,,,0.00E+00,0,0,0,20,1190,0,0,0
,D8,38.05992,-121.99,0,2019-06-11,6,1,2019,1100,21.37,8.62,,68,135,0.06,6.9,7.51,,2.3,0,0.16,10.1,207,1.9,1.9,0.1,0.3,0.051,0.05,7.71,0,77,5,2.15,0,,,,,1.23E+05,0,0,0,16,2123,0,0,0
FieldCont,FieldCont,,,1,,6,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2019-07-08,7,2,2019,800,21.54,8.32,94.6,48,1055,0.5,14,7.62,,,0,0.223,259,15.4,2,2,0.14,0.218,0.062,0.07,13.4,4,588,24,2.79,2.06,,,,,2.15E+05,0,0,0,0,2946,0,0,0
,D22,38.08453,-121.7391,0,2019-07-08,7,2,2019,850,21.74,8.28,94.2,60,133,0.05,10,7.62,,,0.083,0.264,9.06,9.31,1.8,1.8,0.1,0.236,0.057,0.068,14.7,3,80,17,3.44,1.68,,,,,0.00E+00,0,0,0,0,3966,0,0,0
AT,D12,38.02161,-121.8063,0,2019-07-09,7,2,2019,940,21.92,8.21,93.8,56,450,0.2,10.6,7.61,,3.54,0,0.186,94.8,11.1,2.1,2.1,0.15,0.251,0.064,0.072,13.2,3,245,14,1.56,1.27,,,,,6.03E+04,0,0,0,0,330,0,0,0.18
FT,D19,38.04376,-121.6148,0,2019-07-09,7,2,2019,1045,22.86,8.2,95.3,132,125,0.05,2.8,7.68,,1.66,0,0.175,9.06,8.67,2.1,2.1,0.14,0.207,0.06,0.06,13,1,75,4,1.34,0.93,,,,,9.95E+03,0,0,24,1510,1782,0,0,0
OR,D28A,37.97048,-121.573,0,2019-07-09,7,2,2019,1125,24.06,8.72,103.7,164,119,0.05,1.5,8.76,,1.19,0,0.05,8.4,8.07,2.4,2.4,0.13,0.217,0.07,0.07,10.7,1,73,3,0.81,0.55,,,,,3.23E+05,0,0,0,0,0,0,0,0
,D16,38.0969,-121.6691,0,2019-07-10,7,2,2019,925,22.61,8.38,96.9,120,122,0.05,4.5,7.73,,2.36,0,0.197,8.3,8.53,2.1,2.1,0.11,0.223,0.058,0.095,13.1,1,72,6,1.64,1.26,,,,,0.00E+00,0,0,0,57,837,0,0,0
,D26,38.07664,-121.5669,0,2019-07-10,7,2,2019,1030,22.61,8.26,95.6,124,113,0.05,4.5,7.62,,1.25,0.076,0.205,5.98,8.51,1.8,1.8,0,0.213,0.052,0.053,13.4,1,68,5,1.4,0.91,,,,,1.23E+05,0,0,72,0,2922,0,0,0
,MD10A,38.04226,-121.4199,0,2019-07-10,7,2,2019,1145,25.06,7.68,93.2,128,127,0.05,2.8,7.57,,3.86,0,0.064,9.66,8.95,3,3.1,0.15,0.274,0.052,0.06,13.6,1,75,4,4.26,1.42,,,,,3.37E+05,0,0,0,0,2366,0,0,0
RR,P8,37.97817,-121.3823,0,2019-07-10,7,2,2019,1310,23.16,7.1,85.1,100,323,0.14,6.1,7.48,,3.28,0.057,0.63,46.8,14.8,3.6,3.3,0.27,0.419,0.106,0.113,11.6,1,177,6,4.06,0.78,,,,,0.00E+00,0,0,0,16,3307,0,0,0
,D8,38.05992,-121.99,0,2019-07-11,7,2,2019,1100,21.74,8.54,98.1,40,3148,1.62,19.5,7.8,,2.29,0,0.25,811,27.4,1.8,1.9,0.14,0.232,0.066,0.085,13.4,4,1680,26,1.79,0.73,,,,,0.00E+00,0,0,0,22,1002,0,0,0
FieldCont,FieldCont,,,1,,7,2,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2019-08-08,8,3,2019,1150,22.87,8.14,95.2,56,2245,1.13,12.6,7.77,,3.05,0,0.211,578,23.4,1.7,1.7,0.13,0.199,0.065,0.066,13.7,2,1230,16,3.97,1.41,,,,,7.63E+04,0,0,0,16,693,0,0,0
,D22,38.08453,-121.7391,0,2019-08-08,8,3,2019,1240,23.01,8.29,96.7,76,143,0.06,8,7.79,,4.04,0.095,0.228,7.8,10,1.7,1.7,0.11,0.288,0.068,0.07,15.5,1,95,13,3.24,0.67,,,,,0.00E+00,0,0,0,0,2748,0,0,0
AT,D12,38.02161,-121.8063,0,2019-08-06,8,3,2019,830,22.97,7.85,91.9,60,1911,0.95,10.8,7.56,,2.88,0,0.193,480,20.4,1.8,1.9,0.18,0.258,0.066,0.069,12.4,1,1030,12,2.27,1.17,,,,,9.82E+05,0,0,0,0,234,0,0,0
FT,D19,38.04376,-121.6148,0,2019-08-06,8,3,2019,935,24.23,7.86,93.8,152,363,0.16,3.4,7.71,,2.1,0,0.171,69.5,11,1.9,2.4,0.18,0.229,0.07,0.07,12.3,2,202,3,1.72,1.27,,,,,1.75E+08,0,0,0,0,0,0.36,0,0
OR,D28A,37.97048,-121.573,0,2019-08-06,8,3,2019,1010,25.23,8.19,99.6,208,233,0.1,2.1,8.48,,1.42,0,0.058,34,9.71,2.4,3.2,0.18,0.264,0.07,0.072,10.5,0,129,2,1.09,0.78,,,,,4.90E+05,0,0,0,0,0,0,0,0
,D16,38.0969,-121.6691,0,2019-08-07,8,3,2019,740,24.33,7.59,90.8,100,307,0.13,6.1,7.56,,2.62,0,0.203,52.9,11.3,1.9,1.9,0.13,0.229,0.063,0.066,14.1,1,168,7,2.65,2.14,,,,,4.38E+08,0,0,0,28,45,0,0,0
,D26,38.07664,-121.5669,0,2019-08-07,8,3,2019,835,24.12,7.49,89.2,144,154,0.06,4.1,7.5,,2.05,0.083,0.211,12.3,10.3,1.8,1.8,0,0.251,0.061,0.067,15.5,1,88,4,0.99,0.76,,,,,1.50E+08,35,0,0,329,319,0,0,0.17
,MD10A,38.04226,-121.4199,0,2019-08-07,8,3,2019,945,26.47,6.82,84.9,160,140,0.06,2.9,7.38,,3.61,0,0.071,9.25,10,2.8,2.8,0.18,0.29,0.069,0.081,15.5,1,83,3,2.91,1.19,,,,,4.13E+07,0,0,0,77,521,0,0,0
RR,P8,37.97817,-121.3823,0,2019-08-07,8,3,2019,1100,25.71,7.58,93.1,128,371,0.16,4.1,7.56,,4.96,0,0.595,57.9,15.7,2.7,2.7,0.34,0.469,0.148,0.156,12.1,1,209,5,3.87,1.04,,,,,1.86E+08,0,0,0,38,1248,0,0,0
,D8,38.05992,-121.99,0,2019-08-09,8,3,2019,1105,21.87,8.19,95.7,60,7545,4.14,9.7,7.84,,2.72,0,0.206,1860,47.3,1.6,1.6,0.15,0.186,0.069,0.07,11.6,2,3810,9,3.11,0.75,,,,,9.39E+06,0,0,0,0,642,0,0.024,0.19
FieldCont,FieldCont,,,1,,8,3,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2019-09-06,9,4,2019,1105,22.21,8.05,92.6,48,885,0.42,16.6,7.66,,2.35,0,0.223,205,14.4,1.8,1.8,0.26,0.37,0.076,0.076,13.5,4,487,23,2.3,1.59,,,,,0.00E+00,0,1308,0,39,2325,0,0,0
,D22,38.08453,-121.7391,0,2019-09-06,9,4,2019,1155,22.37,8.17,94.1,80,142,0.06,6.6,7.62,,2.51,0.098,0.209,5.6,10.7,1.7,1.5,0,0.308,0.06,0.06,16,2,91,10,1.99,0,,,,,0.00E+00,0,171,0,0,2682,0,0,0
AT,D12,38.02161,-121.8063,0,2019-09-04,9,4,2019,835,22.53,7.93,91.8,60,631,0.29,13.7,7.61,,2.29,0,0.212,139,12.9,2.4,2.6,0.21,0.25,0.072,0.08,14.1,2,344,16,1.84,1.13,,,,,1.11E+06,0,0,36,738,1974,0,0,0.55
FT,D19,38.04376,-121.6148,0,2019-09-04,9,4,2019,950,23.21,7.72,90.3,180,185,0.08,1.1,7.68,,1.63,0,0.185,20.4,10.5,2.2,2.2,0.19,0.22,0.062,0.06,13.7,1,108,3,1.69,0.89,,,,,1.15E+08,0,0,36,836,1356,0.26,0,0
OR,D28A,37.97048,-121.573,0,2019-09-04,9,4,2019,1035,24.47,8.35,100.3,252,184,0.08,1.3,8.45,,1.38,0,0.062,18.1,10.6,2.3,2.3,0.17,0.19,0.065,0.069,12.3,0,102,2,1.1,0.66,,,,,0.00E+00,42,0,1356,1138,2340,0.29,0,0.15
,D16,38.0969,-121.6691,0,2019-09-05,9,4,2019,800,23.28,7.92,92.9,112,175,0.07,4.9,7.62,,2.64,0,0.215,15,10.4,1.9,1.8,0.23,0.252,0.061,0.062,14.9,2,99,6,0.72,0,,,,,1.40E+07,0,0,60,606,1326,0.29,0,0
,D26,38.07664,-121.5669,0,2019-09-05,9,4,2019,855,23.07,7.81,91.2,140,144,0.06,3.9,7.55,,1.94,0.068,0.199,7.4,10.5,1.7,1.7,0.12,0.265,0.057,0.054,15.3,2,87,5,0,0,,,,,5.06E+06,431,0,0,3877,1790,0,0,0
,MD10A,38.04226,-121.4199,0,2019-09-05,9,4,2019,1010,25.34,6.87,83.8,256,153,0.06,1.2,7.37,,3.22,0,0.061,9.1,11.2,2.7,2.7,0.25,0.3,0.065,0.071,15.1,1,93,2,2.65,1.43,,,,,4.70E+05,0,0,0,0,2291,0,0,0
RR,P8,37.97817,-121.3823,0,2019-09-05,9,4,2019,1125,24.01,8.37,99.5,116,246,0.11,6.9,7.59,,2.68,0,0.74,31,11.9,2.4,2.4,0.31,0.533,0.156,0.166,10.7,3,138,6,10.4,7.25,,,,,4.41E+10,9290,119,0,0,21877,0,0,0
,D8,38.05992,-121.99,0,2019-09-06,9,4,2019,935,21.86,8.18,94.5,48,3740,1.95,21.4,7.68,,2.15,0,0.241,1040,31.2,1.7,1.8,0.24,0.257,0.085,0.084,13.8,6,2120,29,2.45,1.2,,,,,2.36E+07,0,0,0,0,4671,0.26,0,0
FieldCont,FieldCont,,,1,,9,4,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
CV,D4,38.06248,-121.8205,0,2019-10-07,10,5,2019,1305,18.88,8.64,93.4,60,1273,0.61,10.6,7.75,,2.3,0.12,0.2,340,17,1.8,1.9,0,0.11,0.1,0.077,15,2,740,14,2.16,0.9,,,,,6.50E+06,0,0,0,334,780,0,0,0
,D22,38.08453,-121.7391,0,2019-10-07,10,5,2019,1405,17.84,9,94.8,124,159,0.07,5,7.79,,2.32,0.22,0.24,12,10,1.8,1.8,0,0.12,0.057,0.067,15,0,110,6.9,1.28,0,,,,,0.00E+00,0,0,0,770,1466,0,0,0
