"","StationCode","DateTime","Study","Secchi","WTSurface","DOSurface","SpCndSurface","pHSurface","Microcystis","TurbiditySurface_FNU"
"109","C10A",2021-04-01 11:15:00,"EMP",NA,18.94,11.07,865,8.19,1,13.7
"110","C9",2021-04-01 09:45:00,"EMP",NA,16.19,9.28,662,7.77,1,3.9
"111","C3A",2021-04-01 08:00:00,"EMP",NA,15.91,9.08,195,7.73,1,3.3
"112","D28A",2021-04-02 11:00:00,"EMP",140,16.7,9.25,418,7.77,1,3
"113","D19",2021-04-02 10:05:00,"EMP",144,15.48,9.95,370,7.91,1,3.9
"114","D16",2021-04-02 09:00:00,"EMP",90,15.16,9.74,351,7.91,1,5.5
"115","D12",2021-04-02 07:15:00,"EMP",40,14.72,9.7,3917,7.76,1,24.8
"116","P8",2021-04-05 13:05:00,"EMP",156,17.01,9.53,1077,7.88,1,2.6
"117","MD10A",2021-04-05 11:35:00,"EMP",260,16.75,9.57,496,7.97,1,1.3
"118","D26",2021-04-05 10:15:00,"EMP",124,15.52,9.64,326,7.87,1,5
"119","D4",2021-04-06 11:20:00,"EMP",46,15.03,9.57,6577,7.82,1,26.8
"120","D22",2021-04-06 12:15:00,"EMP",42,15.55,9.78,1862,8,1,23.9
"121","NZ068",2021-04-06 13:10:00,"EMP",136,16.08,9.63,272,8.01,1,4.7
"122","D6",2021-04-07 11:20:00,"EMP",76,15.2,8.78,26820,7.93,1,8.3
"123","D10",2021-04-07 13:00:00,"EMP",42,15.21,9.52,9863,8.03,1,35.5
"124","D8",2021-04-07 12:15:00,"EMP",33,15.08,9.48,13641,8.08,1,25.5
"125","NZ032",2021-04-08 13:50:00,"EMP",36,16.8,9.88,5488,8.03,1,31.3
"126","NZS42",2021-04-08 12:45:00,"EMP",36,16.22,9.41,6254,7.97,1,40.1
"127","D7",2021-04-08 11:40:00,"EMP",37,14.79,9.59,14034,7.97,1,34.4
"128","D41A",2021-04-09 10:40:00,"EMP",72,15.11,8.42,34965,7.97,1,10.7
"129","D41",2021-04-09 11:25:00,"EMP",140,14.41,8.03,42892,7.91,1,4.2
"130","NZ325",2021-04-09 12:10:00,"EMP",96,15.12,8.73,33391,8.02,1,7.4
"131","NZ004",2021-04-09 12:50:00,"EMP",82,15.27,8.78,28883,8.01,1,7
"132","NZ002",2021-04-09 12:35:00,"EMP",76,15.31,8.72,32326,8.03,1,7.8
"133","SHR",2021-04-26 09:13:00,"AEU",85,16.9,8.82,138,7.82,1,6.9
"134","LIS",2021-04-27 12:02:00,"AEU",37,17.6,6.91,559,7.82,1,15.9
"135","STTD",2021-04-27 09:33:00,"AEU",37,16.9,8,547,7.98,1,18.3
"136","C3A",2021-05-03 08:00:00,"EMP",NA,19.69,8.39,167,7.46,1,2.9
"137","C9",2021-05-03 09:45:00,"EMP",NA,19.34,8.95,502,7.86,1,2.6
"138","C10A",2021-05-03 11:30:00,"EMP",NA,19.68,9.1,344,7.66,1,5.2
"139","D12",2021-05-04 10:15:00,"EMP",60,18.61,8.69,3784,7.75,1,12.6
"140","D16",2021-05-04 12:00:00,"EMP",116,18.92,9.05,526,7.94,1,6.1
"141","D19",2021-05-04 12:50:00,"EMP",152,19.51,9.36,463,8.12,1,4.5
"142","D28A",2021-05-04 13:30:00,"EMP",204,20.26,8.89,397,8.03,1,2.5
"143","D26",2021-05-05 10:50:00,"EMP",156,19.63,9.08,323,8.01,2,4.2
"144","MD10A",2021-05-05 12:15:00,"EMP",292,21.69,9.57,518,8.25,2,1.5
"145","P8",2021-05-05 13:40:00,"EMP",164,22.18,8.8,646,7.75,1,3
"146","D4",2021-05-06 12:00:00,"EMP",32,18.53,8.7,9127,7.9,1,27.7
"147","D22",2021-05-06 13:35:00,"EMP",36,18.81,8.68,3966,7.92,1,27.3
"148","NZ068",2021-05-06 15:00:00,"EMP",84,19.39,9.11,447,8.11,1,8.2
"149","D6",2021-05-07 11:35:00,"EMP",64,17.78,8.31,27291,7.91,1,9.4
"150","D8",2021-05-07 12:30:00,"EMP",44,18.92,8.77,14285,8.02,1,16.6
"151","D10",2021-05-07 13:10:00,"EMP",32,18.65,8.82,11908,8.02,1,27.4
"152","SHR",2021-05-10 09:55:00,"AEU",210,20.5,8.29,146,7.5,1,5.9
"153","D7",2021-05-10 14:10:00,"EMP",40,19.49,8.39,20233,7.97,1,17.4
"154","NZS42",2021-05-10 15:00:00,"EMP",32,20.49,7.41,9382,7.76,1,30.7
"155","NZ032",2021-05-10 15:50:00,"EMP",40,21.25,8.12,9610,7.86,1,17.4
"156","LIS",2021-05-11 12:26:00,"AEU",39,22.2,6.79,762,8.16,1,20.4
"157","STTD",2021-05-11 09:31:00,"AEU",45,20,7.76,264,7.84,1,16.1
"158","D41A",2021-05-11 11:45:00,"EMP",88,19.18,7.73,38010,8.13,1,4.8
"159","D41",2021-05-11 12:35:00,"EMP",92,16.71,7.63,43592,7.89,1,7
"160","NZ325",2021-05-11 13:20:00,"EMP",120,18.82,8.01,36328,7.96,1,5.7
"161","NZ002",2021-05-11 13:40:00,"EMP",72,18.83,8.01,32116,7.98,1,7.5
"162","NZ004",2021-05-11 14:00:00,"EMP",80,18.84,8.06,29746,7.97,1,6.3
"163","SHR",2021-05-24 09:44:00,"AEU",138,20,8.72,137,7.74,1,5.8
"164","LIS",2021-05-25 12:52:00,"AEU",30,23.8,8.25,292,8.08,1,37.8
"165","STTD",2021-05-25 09:16:00,"AEU",36,19.8,8.12,216,8.48,1,22.1
"166","C3A",2021-06-01 08:45:00,"EMP",NA,23.46,7.56,161,7.47,1,2.4
"167","C9",2021-06-01 10:50:00,"EMP",NA,22.99,7.01,543,7.59,2,4
"168","C10A",2021-06-01 12:15:00,"EMP",NA,25.06,8.54,215,7.61,1,4.5
"169","D12",2021-06-02 09:40:00,"EMP",60,20.19,8.47,7130,7.87,1,10.7
"170","D19",2021-06-02 12:30:00,"EMP",112,21.68,8.67,1173,8.02,1,5.1
"171","D28A",2021-06-02 13:25:00,"EMP",120,23.25,7.49,602,7.73,1,3.7
"172","D16",2021-06-03 09:40:00,"EMP",108,21.52,8.29,945,7.85,2,6.1
"173","D26",2021-06-03 10:35:00,"EMP",144,22.37,8.09,450,7.78,2,4.8
"174","MD10A",2021-06-03 11:45:00,"EMP",220,24.74,7.01,468,7.54,2,2.3
"175","P8",2021-06-03 13:05:00,"EMP",144,24.61,7.62,737,7.54,3,2.9
"176","D4",2021-06-04 11:30:00,"EMP",60,20.24,8.5,10367,7.95,1,12.4
"177","D22",2021-06-04 12:30:00,"EMP",44,20.76,8.49,5008,7.95,1,17.3
"178","NZ068",2021-06-04 13:35:00,"EMP",72,21.88,8.37,630,7.87,1,9
"179","SHR",2021-06-07 09:02:00,"AEU",230,24.1,8,135,7.75,1,3.9
"180","D8",2021-06-07 11:25:00,"EMP",64,19.98,8.44,16618,7.94,1,10.8
"181","D10",2021-06-07 12:15:00,"EMP",54,20.18,8.45,11785,7.99,1,11.3
"182","D6",2021-06-08 14:05:00,"EMP",60,18.57,8.16,30185,8,1,14.3
"183","D7",2021-06-08 14:50:00,"EMP",32,18.86,8.4,22784,8.09,1,33.4
"184","NZS42",2021-06-08 15:45:00,"EMP",28,19.97,8.04,15312,7.96,1,24.9
"185","NZ032",2021-06-08 16:35:00,"EMP",44,19.78,8.13,17227,7.98,1,17.9
"186","LIS",2021-06-09 12:26:00,"AEU",26,22.3,8.16,295,7.92,1,30.1
"187","STTD",2021-06-09 09:37:00,"AEU",38,19.7,7.9,210,8.47,1,17.7
"188","D41A",2021-06-09 12:20:00,"EMP",32,17.82,8.13,40372,8.11,1,35.6
"189","D41",2021-06-09 13:00:00,"EMP",56,17.17,7.75,43688,8.01,1,13.6
