region,date,n,n.cen,median,mean,sd,analyte
Suisun & Grizzly Bays,Feb 2019,4,0,96.4,97.75,12.284814474246922,TurbiditySurface
Suisun & Grizzly Bays,Feb 2020,4,0,28,26.75,9.349688051837166,TurbiditySurface
Suisun & Grizzly Bays,Jan 2019,4,0,14.800000000000011,29.150000000000006,21.155062435896202,TurbiditySurface
Suisun & Grizzly Bays,Jan 2020,4,0,23.400000000000006,25.25,6.023564835986515,TurbiditySurface
Suisun & Grizzly Bays,Jul 2019,4,0,27.30000000000001,28.75,7.714272486761141,TurbiditySurface
Suisun & Grizzly Bays,Jul 2020,4,0,9.599999999999994,11.024999999999999,2.879091291825724,TurbiditySurface
Suisun & Grizzly Bays,Jun 2019,4,0,16,29.6,22.09238179403328,TurbiditySurface
Suisun & Grizzly Bays,Jun 2020,4,0,15.5,16.300000000000004,3.879003308411413,TurbiditySurface
Suisun & Grizzly Bays,Mar 2019,4,0,37.099999999999994,47.87499999999999,21.490521166318885,TurbiditySurface
Suisun & Grizzly Bays,Mar 2020,4,0,18,22.1,9.944177525902619,TurbiditySurface
Suisun & Grizzly Bays,May 2019,4,0,31.69999999999999,44.925,29.90388770711928,TurbiditySurface
Suisun & Grizzly Bays,Nov 2019,4,0,14.900000000000006,15.775000000000006,1.7075811352124155,TurbiditySurface
Suisun & Grizzly Bays,Nov 2020,4,0,19.80000000000001,28.125,11.363501514351404,TurbiditySurface
Suisun & Grizzly Bays,Oct 2019,4,0,14.400000000000006,14.600000000000001,0.5597618541248841,TurbiditySurface
Suisun & Grizzly Bays,Oct 2020,4,0,8.900000000000006,9.075000000000003,2.7427176303804903,TurbiditySurface
Suisun & Grizzly Bays,Sep 2019,4,0,25,27.725,7.73536252113198,TurbiditySurface
Suisun & Grizzly Bays,Sep 2020,4,0,12.099999999999994,13.274999999999999,3.4528973341239118,TurbiditySurface
Central Delta,Apr 2019,4,0,1,1.1900000000000013,0.39268307832143895,Chla
Central Delta,Aug 2019,4,0,1.0900000000000034,1.6125000000000007,0.7634297610127581,Chla
